,numero_uai,appellation_officielle,denomination_principale,patronyme_uai,secteur_public_prive_libe,adresse_uai,lieu_dit_uai,boite_postale_uai,code_postal_uai,localite_acheminement_uai,libelle_commune,coordonnee_x,coordonnee_y,epsg,latitude,longitude,appariement,localisation,nature_uai,nature_uai_libe,etat_etablissement,etat_etablissement_libe,code_departement,code_region,code_academie,code_commune,libelle_departement,libelle_region,libelle_academie,position,secteur_prive_code_type_contrat,secteur_prive_libelle_type_contrat,code_ministere,libelle_ministere,date_ouverture
376,0750708M,Lycée Polyvalent Jean Drouant - Lycée des métiers de l'hôtellerie et de la restauration,LPO LYCEE DES METIERS,JEAN DROUANT,Public,20 rue Médéric,,,75017,PARIS,Paris 17e  Arrondissement,648937.1,6864750.6,EPSG:2154,48.88074819207674,2.3037395015256936,Parfaite,Numéro de rue,306,LYCEE POLYVALENT,1.0,OUVERT,75,11,1,75117,Paris,Ile-de-France,Paris,"48.8807481921,2.30373950153",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
377,0751708Z,Lycée polyvalent Louis Armand,LYCEE POLYVALENT,LOUIS ARMAND,Public,321 rue Lecourbe,,,75015,PARIS,Paris 15e  Arrondissement,647538.5,6859927.8,EPSG:2154,48.83726519286379,2.285265350394968,Parfaite,Numéro de rue,306,LYCEE POLYVALENT,1.0,OUVERT,75,11,1,75115,Paris,Ile-de-France,Paris,"48.8372651929,2.28526535039",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1970-03-19
378,0752895P,Collège privé Charles Péguy,COLLEGE PRIVE,CHARLES PEGUY,Privé,54 avenue de la République,,,75011,PARIS,Paris 11e  Arrondissement,654193.2,6862946.0,EPSG:2154,48.86491513325458,2.3755996752769777,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75111,Paris,Ile-de-France,Paris,"48.8649151333,2.37559967528",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1980-09-15
379,0752896R,Collège privé Notre-Dame de France,COLLEGE PRIVE,NOTRE-DAME DE FRANCE,Privé,63  RUE DE LA SANTE,,,75013,PARIS,Paris 13e  Arrondissement,651651.8,6859424.0,EPSG:2154,48.83305619465897,2.3413594253204946,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75113,Paris,Ile-de-France,Paris,"48.8330561947,2.34135942532",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1980-07-31
380,0753146M,Prépasup (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,PREPASUP,Privé,16 bis rue DE L'ESTRAPADE,,,75005,PARIS,Paris  5e  Arrondissement,652012.2,6860747.8,EPSG:2154,48.844988118929926,2.346119543594602,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75105,Paris,Ile-de-France,Paris,"48.8449881189,2.34611954359",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,1983-09-01
381,0753825A,Lycée privé Morvan,LYCEE PRIVE POUR HANDICAPES,MORVAN,Privé,68  RUE DE LA CHAUSSEE D'ANTIN,,,75009,PARIS,Paris  9e  Arrondissement,651011.0,6864202.3,EPSG:2154,48.875978601754504,2.332079713742913,Parfaite,Numéro de rue,312,ECOLE SECONDAIRE SPECIALISEE (2 D CYCLE),1.0,OUVERT,75,11,1,75109,Paris,Ile-de-France,Paris,"48.8759786018,2.33207971374",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-02-28
382,0754016H,Lycée polyvalent privé L'Initiative,LYCEE POLYVALENT PRIVE,L'INITIATIVE,Privé,24 rue Bouret,,,75019,PARIS,Paris 19e  Arrondissement,654134.5,6864788.6,EPSG:2154,48.88148107516921,2.3746006328156133,Parfaite,Numéro de rue,306,LYCEE POLYVALENT,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.8814810752,2.37460063282",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-03-15
383,0754917M,Section d'enseignement professionnel du Lycée polyvalent privé Albert de Mun,SECTION ENSEIGT PROFES.PRIVEE,LPO PRIVE ALBERT DE MUN,Privé,2  RUE D'OLIVET,,,75007,PARIS,Paris  7e  Arrondissement,650078.6,6861290.5,EPSG:2154,48.84972169363925,2.3197099335652727,Parfaite,Numéro de rue,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,1.0,OUVERT,75,11,1,75107,Paris,Ile-de-France,Paris,"48.8497216936,2.31970993357",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1994-09-01
384,0755352K,lycée general privé N'R Hatorah,LYCEE GENERAL PRIVE,N'R HATORAH,Privé,3  RUE HENRI TUROT,,,75019,PARIS,Paris 19e  Arrondissement,653976.9,6864256.7,EPSG:2154,48.87668659109247,2.372509401151093,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.8766865911,2.37250940115",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,2007-09-01
385,0755779Z,Collège La rose blanche,COLLEGE,LA ROSE BLANCHE,Public,34 rue Marie-Georges Picquart,,,75017,PARIS,Paris 17e  Arrondissement,649406.8,6865699.4,EPSG:2154,48.88931747736954,2.310030656050152,Correcte,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75117,Paris,Ile-de-France,Paris,"48.8893174774,2.31003065605",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,2015-09-01
386,0755883M,Lycée Sup Santé,ECOLE GEN.ET TECHNOL. PRIVEE,SUP SANTE,Privé,46 rue DE LA TOUR,,,75016,PARIS,Paris 16e  Arrondissement,647322.4,6862437.6,EPSG:2154,48.859817952374755,2.282010463569592,Parfaite,Numéro de rue,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8598179524,2.28201046357",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,2016-09-01
387,0755943C,Ecole d'Esthétique et de Parfurmerie Silvya Terrade,ECOLE 2D DEGRE PROF.PRIVEE,ECOLE ESTHETIQUE PARFUMERIE SILVYA TERRADE,Privé,6 rue Paul Baudry,,,75008,PARIS,Paris  8e  Arrondissement,649169.3,6863793.9,EPSG:2154,48.872163245491116,2.3070199471069013,Parfaite,Numéro de rue,320,LYCEE PROFESSIONNEL,1.0,OUVERT,75,11,1,75108,Paris,Ile-de-France,Paris,"48.8721632455,2.30701994711",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,2017-05-10
388,0756057B,Paris FC Collège,ECOLE SECONDAIRE PRIVEE,PARIS FC COLLEGE,Privé,17 boulevard Jourdan,,,75014,PARIS,Paris 14e  Arrondissement,651453.4,6857988.2,EPSG:2154,48.820128937308404,2.338820552889505,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75114,Paris,Ile-de-France,Paris,"48.8201289373,2.33882055289",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,2019-12-10
7211,0750136R,E.P.PR SAINT-SAUVEUR 14 rue des Petits Carreaux,ECOLE PRIMAIRE PRIVEE,SAINT-SAUVEUR,Privé,14 rue des Petits Carreaux,,,75002,PARIS,Paris  2e  Arrondissement,652122.6,6863182.2,EPSG:2154,48.86688866452747,2.3473496190417045,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75102,Paris,Ile-de-France,Paris,"48.8668886645,2.34734961904",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-10
7212,0750142X,E.P.PR SAINT JEAN GABRIEL 6 rue du Cloître Saint Merri,ECOLE PRIMAIRE PRIVEE,SAINT JEAN GABRIEL,Privé,6 rue du Cloître Saint Merri,,,75004,PARIS,Paris  4e  Arrondissement,652436.7,6862297.6,EPSG:2154,48.85895685595899,2.3517301402011297,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75104,Paris,Ile-de-France,Paris,"48.858956856,2.3517301402",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-10
7213,0750145A,E.E.PR LES FRANCS BOURGEOIS 21 rue Saint Antoine,ECOLE ELEMENTAIRE PRIVEE,LES FRANCS BOURGEOIS,Privé,21 rue Saint Antoine,,,75004,PARIS,Paris  4e  Arrondissement,653462.7,6861687.4,EPSG:2154,48.85354430984694,2.3657803239029382,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75104,Paris,Ile-de-France,Paris,"48.8535443098,2.3657803239",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-10
7214,0750154K,E.P.PR SEVIGNE 95 boulevard Arago,ECOLE PRIMAIRE PRIVEE,SEVIGNE,Privé,95 boulevard Arago,,,75014,PARIS,Paris 14e  Arrondissement,651156.1,6859567.2,EPSG:2154,48.83430662754551,2.334590454808606,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75114,Paris,Ile-de-France,Paris,"48.8343066275,2.33459045481",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-10
7215,0750195E,E.P.PR SAINT-PIERRE DE CHAILLOT 10 rue Chistophe Colomb,ECOLE PRIMAIRE PRIVEE,SAINT-PIERRE DE CHAILLOT,Privé,10 rue Chistophe Colomb,,,75008,PARIS,Paris  8e  Arrondissement,648605.2,6863541.6,EPSG:2154,48.86984961021935,2.299360435728933,Correcte,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75108,Paris,Ile-de-France,Paris,"48.8698496102,2.29936043573",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-13
7216,0750209V,E.P.PR NOTRE-DAME DE LORETTE 8 ter rue Choron,ECOLE PRIMAIRE PRIVEE,NOTRE-DAME DE LORETTE,Privé,8 ter rue Choron,,,75009,PARIS,Paris  9e  Arrondissement,651717.3,6864364.1,EPSG:2154,48.87748696591776,2.341690628970786,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75109,Paris,Ile-de-France,Paris,"48.8774869659,2.34169062897",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-15
7217,0750218E,E.P.PR SAINT-JOSEPH 154 rue Saint Maur,ECOLE PRIMAIRE PRIVEE,SAINT-JOSEPH,Privé,154 rue Saint Maur,,,75011,PARIS,Paris 11e  Arrondissement,654098.0,6863428.9,EPSG:2154,48.869250999479895,2.3742498791900317,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75111,Paris,Ile-de-France,Paris,"48.8692509995,2.37424987919",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-15
7218,0750246K,E.P.PR ST-ANNE SAINTE-MARIE 109 rue Bobillot,ECOLE PRIMAIRE PRIVEE,ST-ANNE SAINTE-MARIE,Privé,109 rue Bobillot,,,75013,PARIS,Paris 13e  Arrondissement,652152.6,6858368.0,EPSG:2154,48.82359682182946,2.348300167106303,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75113,Paris,Ile-de-France,Paris,"48.8235968218,2.34830016711",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-15
7219,0750271M,E.P.PR SAINTE-ELISABETH 112 rue de Lourmel,ECOLE PRIMAIRE PRIVEE,SAINTE-ELISABETH,Privé,112 rue de Lourmel,,,75015,PARIS,Paris 15e  Arrondissement,647609.1,6860550.2,EPSG:2154,48.84286816371917,2.286150494949569,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75115,Paris,Ile-de-France,Paris,"48.8428681637,2.28615049495",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-15
7220,0750287E,E.P.PR SAINT-FRANCOIS D'EYLAU 20 avenue Bugeaud,ECOLE PRIMAIRE PRIVEE,SAINT-FRANCOIS D'EYLAU,Privé,20 avenue Bugeaud,,,75016,PARIS,Paris 16e  Arrondissement,647360.9,6863613.6,EPSG:2154,48.87039659542866,2.28238952005828,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8703965954,2.28238952006",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-16
7221,0750292K,E.P.PR PASCAL 33 boulevard Lannes,ECOLE ELEMENTAIRE PRIVEE,PASCAL,Privé,33 boulevard Lannes,,,75016,PARIS,Paris 16e  Arrondissement,646611.5,6863248.2,EPSG:2154,48.867048969324934,2.272219696869433,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8670489693,2.27221969687",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-16
7222,0750297R,E.P.PR NOTRE-DAME DES OISEAUX 21 rue Erlanger,ECOLE PRIMAIRE PRIVEE,NOTRE-DAME DES OISEAUX,Privé,21 rue Erlanger,,,75016,PARIS,Paris 16e  Arrondissement,645795.0,6860968.7,EPSG:2154,48.84648165476964,2.2613806489780037,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8464816548,2.26138064898",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-16
7223,0750301V,E.P.PR PROVIDENCE PASSY 52 rue de la Pompe,ECOLE PRIMAIRE PRIVEE,PROVIDENCE PASSY,Privé,52 rue de la Pompe,,,75016,PARIS,Paris 16e  Arrondissement,646881.5,6862683.6,EPSG:2154,48.86199397608714,2.2759706401662214,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8619939761,2.27597064017",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-16
7224,0750340M,E.P.PR SAINT-LOUIS 47 rue Montcalm,ECOLE PRIMAIRE PRIVEE,SAINT-LOUIS,Privé,47 rue Montcalm,,,75018,PARIS,Paris 18e  Arrondissement,651590.5,6866224.0,EPSG:2154,48.8942028888886,2.339749823581512,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75118,Paris,Ile-de-France,Paris,"48.8942028889,2.33974982358",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-17
7225,0750346U,E.P.PR SAINT-BERNARD SAINTE-MARIE 50 rue Stephenson,ECOLE PRIMAIRE PRIVEE,SAINT-BERNARD SAINTE-MARIE,Privé,50 rue Stephenson,,,75018,PARIS,Paris 18e  Arrondissement,652794.8,6865546.7,EPSG:2154,48.88820161176981,2.3562496689938315,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75118,Paris,Ile-de-France,Paris,"48.8882016118,2.35624966899",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1969-01-17
7226,0750362L,Collège Beaumarchais,COLLEGE,BEAUMARCHAIS,Public,124 rue Amelot,,,75011,PARIS,Paris 11e  Arrondissement,653554.4,6862876.4,EPSG:2154,48.864243486766526,2.3669000603315085,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75111,Paris,Ile-de-France,Paris,"48.8642434868,2.36690006033",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7227,0750387N,Collège Pierre Jean de Béranger,COLLEGE,PIERRE-JEAN DE BERANGER,Public,5 rue Beranger,,,75003,PARIS,Paris  3e  Arrondissement,653360.8,6862975.2,EPSG:2154,48.865117992148704,2.3642503698965265,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75103,Paris,Ile-de-France,Paris,"48.8651179921,2.3642503699",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7228,0750419Y,Lycée professionnel Mécanique automobile Camille Jenatzy,LYCEE PROFESSIONNEL,CAMILLE JENATZY,Public,6 rue Charles Hermite,,,75018,PARIS,Paris 18e  Arrondissement,653705.7,6866839.2,EPSG:2154,48.89989070644064,2.3685303737361245,Parfaite,Numéro de rue,320,LYCEE PROFESSIONNEL,1.0,OUVERT,75,11,1,75118,Paris,Ile-de-France,Paris,"48.8998907064,2.36853037374",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7229,0750429J,Collège Roland Dorgelès,COLLEGE,ROLAND DORGELES,Public,63 rue de Clignancourt,,,75018,PARIS,Paris 18e  Arrondissement,652179.6,6865555.4,EPSG:2154,48.8882344503656,2.347859416123783,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75118,Paris,Ile-de-France,Paris,"48.8882344504,2.34785941612",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7230,0750436S,Lycée professionnel Claude Anthime Corbon - Lycée des métiers de la communication et de la gestion d'entreprise,LP LYCEE DES METIERS,CLAUDE ANTHIME CORBON,Public,5 rue Corbon,,,75015,PARIS,Paris 15e  Arrondissement,648857.0,6859819.6,EPSG:2154,48.83639812952889,2.3032406363243507,Parfaite,Numéro de rue,320,LYCEE PROFESSIONNEL,1.0,OUVERT,75,11,1,75115,Paris,Ile-de-France,Paris,"48.8363981295,2.30324063632",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7231,0750445B,Collège Alberto Giacometti,COLLEGE,ALBERTO GIACOMETTI,Public,7 rue du Cange,,,75014,PARIS,Paris 14e  Arrondissement,649714.4,6859572.6,EPSG:2154,48.834244317584705,2.314950240410027,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75114,Paris,Ile-de-France,Paris,"48.8342443176,2.31495024041",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7232,0750478M,Collège Jean-Baptiste Clément,COLLEGE,JEAN-BAPTISTE CLEMENT,Public,26 rue Henri Chevreau,,,75020,PARIS,Paris 20e  Arrondissement,655208.5,6863499.1,EPSG:2154,48.86996048061639,2.389380543998681,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75120,Paris,Ile-de-France,Paris,"48.8699604806,2.389380544",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7233,0750508V,Lycée professionnel Charles de Gaulle,LYCEE PROFESSIONNEL,CHARLES DE GAULLE,Public,17 rue Ligner,,,75020,PARIS,Paris 20e  Arrondissement,655784.4,6862169.8,EPSG:2154,48.858046028645774,2.3973694845665365,Parfaite,Numéro de rue,320,LYCEE PROFESSIONNEL,1.0,OUVERT,75,11,1,75120,Paris,Ile-de-France,Paris,"48.8580460286,2.39736948457",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7234,0750612H,Lycée technologique Ecole Nationale Supérieure des Arts Appliqués,LYCEE TECHNOLOGIQUE,EC NAT SUP DES ARTS APPLIQUES,Public,63 rue Olivier de Serres,,,75015,PARIS,Paris 15e  Arrondissement,648250.9,6859523.8,EPSG:2154,48.83368961025237,2.295019696876355,Parfaite,Numéro de rue,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,1.0,OUVERT,75,11,1,75115,Paris,Ile-de-France,Paris,"48.8336896103,2.29501969688",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1969-04-08
7235,0750647W,Lycée général et technologique Turgot,LYCEE GENERAL ET TECHNOLOGIQUE,TURGOT,Public,69 rue de Turbigo,,,75003,PARIS,Paris  3e  Arrondissement,652948.7,6863092.0,EPSG:2154,48.86613838561514,2.358620254370753,Parfaite,Numéro de rue,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,1.0,OUVERT,75,11,1,75103,Paris,Ile-de-France,Paris,"48.8661383856,2.35862025437",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7236,0750671X,Lycée polyvalent Edgar Quinet,LYCEE POLYVALENT,EDGAR QUINET,Public,63 rue des Martyrs,,,75009,PARIS,Paris  9e  Arrondissement,651587.3,6864784.5,EPSG:2154,48.881257741311366,2.3398703113015373,Parfaite,Numéro de rue,306,LYCEE POLYVALENT,1.0,OUVERT,75,11,1,75109,Paris,Ile-de-France,Paris,"48.8812577413,2.3398703113",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7237,0750675B,Lycée général et technologique Voltaire,LYCEE GENERAL ET TECHNOLOGIQUE,VOLTAIRE,Public,101 avenue de la République,,,75011,PARIS,Paris 11e  Arrondissement,654845.7,6862786.7,EPSG:2154,48.86352863925721,2.384510576937097,Parfaite,Numéro de rue,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,1.0,OUVERT,75,11,1,75111,Paris,Ile-de-France,Paris,"48.8635286393,2.38451057694",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7238,0750679F,Lycée général et technologique Paul Valéry,LYCEE GENERAL ET TECHNOLOGIQUE,PAUL VALERY,Public,38 boulevard Soult,,,75012,PARIS,Paris 12e  Arrondissement,656635.8,6860138.2,EPSG:2154,48.83983368404702,2.4091802639968942,Parfaite,Numéro de rue,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,1.0,OUVERT,75,11,1,75112,Paris,Ile-de-France,Paris,"48.839833684,2.409180264",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7239,0750681H,"Lycée Polyvalent Boulle - Lycée des métiers d'art, d'architecture intérieure et du design",LPO LYCEE DES METIERS,BOULLE ESAA,Public,9 rue Pierre Bourdan,,,75012,PARIS,Paris 12e  Arrondissement,655344.1,6860917.5,EPSG:2154,48.84675375468506,2.391500239020673,Parfaite,Numéro de rue,306,LYCEE POLYVALENT,1.0,OUVERT,75,11,1,75112,Paris,Ile-de-France,Paris,"48.8467537547,2.39150023902",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7240,0750682J,Lycée général Rodin,LYCEE GENERAL,RODIN,Public,19 rue Corvisart,,,75013,PARIS,Paris 13e  Arrondissement,652079.3,6859356.7,EPSG:2154,48.83248288648154,2.347190509259003,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75113,Paris,Ile-de-France,Paris,"48.8324828865,2.34719050926",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7241,0750688R,Lycée général et technologique Rabelais,LYCEE GENERAL ET TECHNOLOGIQUE,RABELAIS,Public,9 rue Francis de Croisset,,,75018,PARIS,Paris 18e  Arrondissement,652024.8,6866780.0,EPSG:2154,48.89923526964447,2.345610062869426,Parfaite,Numéro de rue,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,1.0,OUVERT,75,11,1,75118,Paris,Ile-de-France,Paris,"48.8992352696,2.34561006287",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7242,0750690T,Lycée général et technologique François Villon,LYCEE GENERAL ET TECHNOLOGIQUE,FRANCOIS VILLON,Public,10 avenue Marc Sangnier,,,75014,PARIS,Paris 14e  Arrondissement,649035.8,6858699.4,EPSG:2154,48.826338262375,2.305810601478661,Parfaite,Numéro de rue,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,1.0,OUVERT,75,11,1,75114,Paris,Ile-de-France,Paris,"48.8263382624,2.30581060148",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7243,0750696Z,Lycée général et technologique Roger Verlomme,LYCEE GENERAL ET TECHNOLOGIQUE,ROGER VERLOMME,Public,24 rue Fondary,,,75015,PARIS,Paris 15e  Arrondissement,648128.7,6861121.0,EPSG:2154,48.84804336803846,2.2931602795871515,Parfaite,Numéro de rue,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,1.0,OUVERT,75,11,1,75115,Paris,Ile-de-France,Paris,"48.848043368,2.29316027959",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7244,0750702F,Lycée général Jean de La Fontaine,LYCEE GENERAL,JEAN DE LA FONTAINE,Public,1 place de la Porte Molitor,,,75016,PARIS,Paris 16e  Arrondissement,645440.6,6860828.4,EPSG:2154,48.84519004076814,2.256569733945024,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.8451900408,2.25656973395",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7245,0750712S,Lycée polyvalent Diderot,LYCEE POLYVALENT,DIDEROT,Public,61 rue David d'Angers,,,75019,PARIS,Paris 19e  Arrondissement,655695.1,6864779.9,EPSG:2154,48.88151210228348,2.3958802683351013,Parfaite,Numéro de rue,306,LYCEE POLYVALENT,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.8815121023,2.39588026834",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7246,0750775K,Lycée professionnel Gustave Ferrié,LYCEE PROFESSIONNEL,GUSTAVE FERRIE,Public,7 rue des Ecluses Saint-Martin,,,75010,PARIS,Paris 10e  Arrondissement,653601.9,6864237.8,EPSG:2154,48.87648971970293,2.3673988384794438,Parfaite,Numéro de rue,320,LYCEE PROFESSIONNEL,1.0,OUVERT,75,11,1,75110,Paris,Ile-de-France,Paris,"48.8764897197,2.36739883848",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
7247,0750785W,Lycée professionnel Galilée,LYCEE PROFESSIONNEL,GALILEE,Public,28 rue de Patay,,,75013,PARIS,Paris 13e  Arrondissement,654125.4,6858543.6,EPSG:2154,48.82531943751794,2.3751503835286694,Parfaite,Numéro de rue,320,LYCEE PROFESSIONNEL,1.0,OUVERT,75,11,1,75113,Paris,Ile-de-France,Paris,"48.8253194375,2.37515038353",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
