,numero_uai,appellation_officielle,denomination_principale,patronyme_uai,secteur_public_prive_libe,adresse_uai,lieu_dit_uai,boite_postale_uai,code_postal_uai,localite_acheminement_uai,libelle_commune,coordonnee_x,coordonnee_y,epsg,latitude,longitude,appariement,localisation,nature_uai,nature_uai_libe,etat_etablissement,etat_etablissement_libe,code_departement,code_region,code_academie,code_commune,libelle_departement,libelle_region,libelle_academie,position,secteur_prive_code_type_contrat,secteur_prive_libelle_type_contrat,code_ministere,libelle_ministere,date_ouverture
30537,0752897S,Collège privé La Tour,COLLEGE PRIVE,LA TOUR,Privé,86  RUE DE LA TOUR,,,75016,PARIS,Paris 16e  Arrondissement,647090.8,6862634.2,EPSG:2154,48.861566956992256,2.2788294851212214,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75116,Paris,Ile-de-France,Paris,"48.861566957,2.27882948512",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1980-07-31
30538,0752958H,Collège Boris Vian,COLLEGE,BORIS VIAN,Public,76 boulevard Berthier,,,75017,PARIS,Paris 17e  Arrondissement,649001.0,6865840.4,EPSG:2154,48.89055341723353,2.30447986999376,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75117,Paris,Ile-de-France,Paris,"48.8905534172,2.30447986999",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1981-09-01
30539,0752960K,E.M.PU MOURAUD 9 rue Mouraud,ECOLE MATERNELLE PUBLIQUE,MOURAUD,Public,9 rue Mouraud,,,75020,PARIS,Paris 20e  Arrondissement,656539.7,6861805.3,EPSG:2154,48.8548194924034,2.4077006174902014,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1.0,OUVERT,75,11,1,75120,Paris,Ile-de-France,Paris,"48.8548194924,2.40770061749",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1982-09-01
30540,0753052K,E.M.PU FEDERATION 20 rue de la Fédération,ECOLE MATERNELLE PUBLIQUE,FEDERATION,Public,20 rue de la Fédération,,,75015,PARIS,Paris 15e  Arrondissement,647993.5,6861839.7,EPSG:2154,48.85449565984745,2.291230130177131,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1.0,OUVERT,75,11,1,75115,Paris,Ile-de-France,Paris,"48.8544956598,2.29123013018",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1983-03-25
30541,0753123M,E.M.PU CHAT.DES RENTIERS 31 rue Château des Rentiers,ECOLE MATERNELLE PUBLIQUE,CHAT.DES RENTIERS,Public,31 rue Château des Rentiers,,,75013,PARIS,Paris 13e  Arrondissement,653758.2,6858437.3,EPSG:2154,48.82433722558879,2.3701605789382283,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1.0,OUVERT,75,11,1,75113,Paris,Ile-de-France,Paris,"48.8243372256,2.37016057894",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1983-09-01
30542,0753190K,E.M.PU SEXTIUS MICHEL 22 rue Sextius Michel,ECOLE MATERNELLE PUBLIQUE,SEXTIUS MICHEL,Public,22 rue Sextius Michel,,,75015,PARIS,Paris 15e  Arrondissement,647782.2,6861353.8,EPSG:2154,48.85010892880776,2.2884102615427078,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1.0,OUVERT,75,11,1,75115,Paris,Ile-de-France,Paris,"48.8501089288,2.28841026154",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1984-09-01
30543,0753205B,E.E.PU JEAN ZAY 18 rue Jean Zay,ECOLE ELEMENTAIRE PUBLIQUE,JEAN ZAY,Public,18 rue Jean Zay,,,75014,PARIS,Paris 14e  Arrondissement,650130.9,6859942.9,EPSG:2154,48.837606803112756,2.320580608616873,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1.0,OUVERT,75,11,1,75114,Paris,Ile-de-France,Paris,"48.8376068031,2.32058060862",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1985-09-01
30544,0753256G,Etablissement régional d'enseignement adapté Alexandre Dumas,ETAB.REGIONAL ENSEIGNT ADAPTE,ALEXANDRE DUMAS,Public,29 bis rue de Cronstadt,,,75015,PARIS,Paris 15e  Arrondissement,648736.9,6859519.4,EPSG:2154,48.83368887972153,2.3016406798432003,Parfaite,Numéro de rue,370,ETABLISSEMENT REGIONAL D'ENSEIGNT ADAPTE,1.0,OUVERT,75,11,1,75115,Paris,Ile-de-France,Paris,"48.8336888797,2.30164067984",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-10-31
30545,0753265S,E.M.PU REUNION 91 rue de la Réunion,ECOLE MATERNELLE PUBLIQUE,REUNION,Public,91 rue de la Réunion,,,75020,PARIS,Paris 20e  Arrondissement,655994.4,6861990.7,EPSG:2154,48.85644977126929,2.4002500808143594,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1.0,OUVERT,75,11,1,75120,Paris,Ile-de-France,Paris,"48.8564497713,2.40025008081",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1985-09-01
30546,0753268V,Lycée polyvalent Jean Lurçat,LYCEE POLYVALENT,JEAN LURCAT,Public,48 avenue des Gobelins,,,75013,PARIS,Paris 13e  Arrondissement,652528.7,6859550.7,EPSG:2154,48.83426080336663,2.3532906328797534,Parfaite,Numéro de rue,306,LYCEE POLYVALENT,1.0,OUVERT,75,11,1,75113,Paris,Ile-de-France,Paris,"48.8342608034,2.35329063288",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1966-09-30
