Nombre_delits_crimes_2019,piece,Vetements_accessoires,arrondissement,services,loisirs,Commerces_automobile,Mobilier_electromenager,1946-1970,1946-1970,1971-1990,1971-1990,Apres 1990,Apres 1990,Avant 1946,Avant 1946,code_grand_quartier,meublé,non meublé,polar_coords1,polar_coords2,ref
5428,2,311,4,68,48,3,63,0,0,0,0,0,0,1,1,7510414,1,0,0.015032934622597622,-0.4327165179589617,31.3
15726,2,131,1,34,49,0,28,0,0,0,0,1,1,0,0,7510103,1,0,0.009099648178207154,-0.2872174732934686,30.2
7169,2,17,7,25,18,2,31,0,0,1,1,0,0,0,0,7510726,0,1,0.029053008834889205,0.15409345577556788,26.7
5350,4,45,2,23,55,4,11,0,0,0,0,1,1,0,0,7510206,1,0,0.008892602048576588,-0.9196136595002139,28.1
8477,4,221,6,45,126,0,59,0,0,0,0,0,0,1,1,7510624,0,1,0.012815162302587524,0.5459862981518804,25.6
18770,4,152,17,91,21,27,38,0,0,1,1,0,0,0,0,7511766,0,1,0.04937038284418086,-0.4978539975895506,22.4
8477,3,83,6,47,137,1,21,1,1,0,0,0,0,0,0,7510621,1,0,0.008898692094924467,1.0366678736925319,24.5
15726,2,131,1,34,49,0,28,0,0,1,1,0,0,0,0,7510103,0,1,0.009099648178207154,-0.2872174732934686,25.3
5350,4,45,2,23,55,4,11,0,0,0,0,0,0,1,1,7510206,1,0,0.008892602048576588,-0.9196136595002139,28.4
7169,1,194,7,56,84,0,217,1,1,0,0,0,0,0,0,7510725,1,0,0.02097740006553859,0.36105291208426493,35.3
17723,3,127,13,100,29,28,36,1,1,0,0,0,0,0,0,7511351,0,1,0.038886240308054626,-1.3958987381223886,19.9
15726,4,357,1,63,53,5,51,1,1,0,0,0,0,0,0,7510102,0,1,0.0,0.0,21.5
15167,1,124,10,78,35,11,25,0,0,0,0,1,1,0,0,7511039,0,1,0.01949907394223315,0.5338691280771024,24.1
18770,4,82,17,70,23,17,28,0,0,0,0,0,0,1,1,7511768,1,0,0.040306042425190564,-0.9058307868075594,24.2
14628,3,226,9,75,21,0,20,0,0,0,0,1,1,0,0,7510934,1,0,0.016766360054298265,-0.7230741369929625,27.7
15167,1,78,10,75,22,3,23,0,0,0,0,0,0,1,1,7511038,0,1,0.013131521851184724,0.9829598026967977,29.1
19856,3,29,19,21,10,8,11,0,0,1,1,0,0,0,0,7511974,0,1,0.05127307109114775,0.6744651784068575,16.7
13879,1,171,14,91,34,17,42,1,1,0,0,0,0,0,0,7511455,1,0,0.03950313015860371,1.0853829037600564,27.6
18770,4,82,17,70,23,17,28,1,1,0,0,0,0,0,0,7511768,0,1,0.040306042425190564,-0.9058307868075594,21.6
20898,4,183,8,56,45,15,51,0,0,1,1,0,0,0,0,7510830,1,0,0.043695326468300634,-0.27614936456924316,25.1
5350,1,93,2,30,12,3,16,0,0,0,0,0,0,1,1,7510207,0,1,0.006037335832314766,-1.5369719854089665,31.1
13759,2,37,12,42,23,15,18,1,1,0,0,0,0,0,0,7511245,0,1,0.10318839920409463,-0.23960639908888043,20.9
24474,2,33,18,35,7,8,12,0,0,0,0,0,0,1,1,7511872,1,0,0.037108820682343335,1.0066341479674799,25.0
14628,3,118,9,53,44,8,29,0,0,1,1,0,0,0,0,7510936,1,0,0.01791869658560452,1.564172471948611,24.0
14628,1,98,9,44,88,4,48,0,0,1,1,0,0,0,0,7510935,1,0,0.011260854317765615,-1.3903062463311873,30.3
20898,3,198,8,34,3,7,6,1,1,0,0,0,0,0,0,7510829,0,1,0.03834791115570099,-0.16501578657760615,21.7
20898,4,127,8,89,66,11,54,0,0,0,0,0,0,1,1,7510832,0,1,0.03342214876446949,-0.5112052722868463,23.7
8477,4,378,6,113,42,5,72,0,0,0,0,1,1,0,0,7510623,0,1,0.025716388963695498,0.6619775083949289,29.9
8378,4,65,3,20,62,5,9,0,0,0,0,0,0,1,1,7510312,1,0,0.010099789072358277,0.02308626913492399,28.4
24474,2,294,18,196,134,21,141,0,0,0,0,1,1,0,0,7511870,1,0,0.029657441569164104,1.5372174893205752,26.6
15167,4,124,10,78,35,11,25,0,0,0,0,0,0,1,1,7511039,1,0,0.01949907394223315,0.5338691280771024,24.2
8477,3,40,5,50,16,5,14,0,0,0,0,0,0,1,1,7510518,0,1,0.023388618931187908,-1.051816806927014,23.3
14628,1,226,9,75,21,0,20,1,1,0,0,0,0,0,0,7510934,0,1,0.016766360054298265,-0.7230741369929625,31.9
7169,3,194,7,56,84,0,217,1,1,0,0,0,0,0,0,7510725,0,1,0.02097740006553859,0.36105291208426493,25.3
17723,4,16,13,35,13,9,13,1,1,0,0,0,0,0,0,7511349,0,1,0.03150370160897329,-0.872503783119703,20.6
15726,4,357,1,63,53,5,51,0,0,0,0,1,1,0,0,7510102,1,0,0.0,0.0,23.1
15513,2,63,11,62,35,32,45,0,0,1,1,0,0,0,0,7511142,0,1,0.03038028622527556,-0.008902182159552767,22.3
