Nombre_delits_crimes_2019,piece,Vetements_accessoires,arrondissement,services,loisirs,Commerces_automobile,Mobilier_electromenager,1946-1970,1946-1970,1971-1990,1971-1990,Apres 1990,Apres 1990,Avant 1946,Avant 1946,code_grand_quartier,meublé,non meublé,polar_coords1,polar_coords2,ref
18654,1,20,20,38,7,7,11,0,0,0,0,1,1,0,0,7512078,0,1,0.06244752275613116,0.13249728900426244,23.1
15513,3,63,11,62,35,32,45,0,0,1,1,0,0,0,0,7511142,1,0,0.03038028622527556,-0.008902182159552767,24.6
14628,1,118,9,53,44,8,29,0,0,1,1,0,0,0,0,7510936,0,1,0.01791869658560452,1.564172471948611,26.8
19856,1,29,19,21,10,8,11,0,0,1,1,0,0,0,0,7511974,1,0,0.05127307109114775,0.6744651784068575,24.0
15513,3,118,11,68,65,23,64,0,0,1,1,0,0,0,0,7511144,0,1,0.04212937941788979,-0.2272299232755855,21.8
19422,3,110,15,99,33,24,48,0,0,0,0,1,1,0,0,7511558,1,0,0.03749485221786559,0.5565652275688768,27.6
18770,1,82,17,70,23,17,28,0,0,0,0,0,0,1,1,7511768,1,0,0.040306042425190564,-0.9058307868075594,31.8
15513,1,118,11,68,65,23,64,0,0,0,0,1,1,0,0,7511144,1,0,0.04212937941788979,-0.2272299232755855,32.8
15513,2,63,11,62,35,32,45,1,1,0,0,0,0,0,0,7511142,0,1,0.03038028622527556,-0.008902182159552767,21.4
17723,1,13,13,21,13,4,6,0,0,0,0,1,1,0,0,7511352,1,0,0.028366105280227257,-1.4717402443170884,31.5
19422,2,118,15,124,43,31,67,1,1,0,0,0,0,0,0,7511557,1,0,0.05432869012675574,0.5318041662032758,24.3
5428,2,26,4,22,48,2,8,1,1,0,0,0,0,0,0,7510416,1,0,0.013013554980597416,-0.8362034742714815,30.2
19422,3,124,15,61,28,16,55,0,0,0,0,0,0,1,1,7511560,1,0,0.06997947052887823,0.33759331165368633,25.9
18654,2,92,20,88,19,25,35,0,0,0,0,0,0,1,1,7512080,1,0,0.06035182046056602,-0.09795681717243715,25.0
17723,4,16,13,35,13,9,13,0,0,0,0,1,1,0,0,7511349,0,1,0.03150370160897329,-0.872503783119703,23.5
15726,3,249,1,35,20,2,16,1,1,0,0,0,0,0,0,7510104,0,1,0.0168768644190784,-0.3040032939384008,21.7
16265,3,151,16,56,7,8,25,0,0,1,1,0,0,0,0,7511663,0,1,0.0739359364808242,-0.1283748729717448,25.3
18654,4,92,20,88,19,25,35,0,0,1,1,0,0,0,0,7512080,1,0,0.06035182046056602,-0.09795681717243715,17.0
15167,2,124,10,78,35,11,25,0,0,0,0,1,1,0,0,7511039,0,1,0.01949907394223315,0.5338691280771024,23.9
19422,3,124,15,61,28,16,55,0,0,1,1,0,0,0,0,7511560,1,0,0.06997947052887823,0.33759331165368633,24.6
16265,4,78,16,90,21,50,51,0,0,1,1,0,0,0,0,7511661,0,1,0.0865918881942693,0.13610926400500145,21.4
14628,2,98,9,44,88,4,48,0,0,0,0,1,1,0,0,7510935,0,1,0.011260854317765615,-1.3903062463311873,25.0
15167,2,124,10,78,35,11,25,0,0,0,0,0,0,1,1,7511039,1,0,0.01949907394223315,0.5338691280771024,27.3
8477,4,68,5,93,100,0,11,0,0,0,0,0,0,1,1,7510520,1,0,0.013217462160435654,-1.5421401019127452,28.4
15726,2,357,1,63,53,5,51,0,0,0,0,1,1,0,0,7510102,0,1,0.0,0.0,25.0
15726,1,249,1,35,20,2,16,0,0,0,0,0,0,1,1,7510104,0,1,0.0168768644190784,-0.3040032939384008,32.7
15167,1,78,10,75,22,3,23,0,0,0,0,0,0,1,1,7511038,0,1,0.013131521851184724,0.9829598026967977,29.1
8477,2,204,6,77,43,2,39,0,0,0,0,1,1,0,0,7510622,1,0,0.01757250420777975,1.0487246508711732,30.2
15726,2,249,1,35,20,2,16,1,1,0,0,0,0,0,0,7510104,1,0,0.0168768644190784,-0.3040032939384008,30.2
24474,1,33,18,35,7,8,12,0,0,1,1,0,0,0,0,7511872,1,0,0.037108820682343335,1.0066341479674799,24.0
15726,1,357,1,63,53,5,51,1,1,0,0,0,0,0,0,7510102,0,1,0.0,0.0,28.0
14628,3,88,9,65,106,7,34,0,0,1,1,0,0,0,0,7510933,1,0,0.021109145373455734,-1.0119346640805658,24.0
13759,1,86,12,94,73,26,33,0,0,0,0,0,0,1,1,7511246,0,1,0.10187496778338553,-0.2841438447623457,26.7
8477,3,221,6,45,126,0,59,0,0,0,0,0,0,1,1,7510624,1,0,0.012815162302587524,0.5459862981518804,30.7
