X,Y,OBJECTID,C_ORD,NIV6,ARRO,QUA,IRIS,NUM,LET,TYP_VOIE,LIB_VOIE,LIBACT,SIT,CODACT,SURF,CC_ID,CC_NIV,TYPE
648887.653930664,6863424.21630859,18377,20881,2,8,29,751082901,41,,RUE,FRANCOIS IER,Horlogerie - Bijouterie,A,CB302,2,,,C
648887.537719727,6863382.76849365,18381,20887,2,8,29,751082901,19,,RUE,MARBEUF,Prêt-à-porter Homme,R,CB105,1,,,C
648903.807678223,6863400.31390381,18384,20890,2,8,29,751082901,21,,RUE,MARBEUF,Puériculture,R,CB110,1,,,C
648954.320922852,6863359.7387085,18388,20897,2,8,29,751082901,31,,RUE,FRANCOIS IER,Prêt-à-porter Femme,R,CB104,1,,,C
648943.373291016,6863370.29650879,18389,20898,2,8,29,751082901,33,,RUE,FRANCOIS IER,Concessionnaire automobiles,R,CG101,2,,,C
648934.913513184,6863378.44927979,18390,20899,2,8,29,751082901,35,,RUE,FRANCOIS IER,Haute couture - Créateurs,R,CB101,1,,,C
648972.701293945,6863326.01391602,18392,20901,2,8,29,751082901,21,,RUE,LA TREMOILLE,Prêt-à-porter Femme,A,CB104,1,,,C
648871.985900879,6863334.93347168,18394,20903,2,8,29,751082901,14,,RUE,MARBEUF,Prêt-à-porter Mixte,R,CB107,1,,,C
648886.81451416,6863353.37371826,18395,20904,2,8,29,751082901,14,B,RUE,MARBEUF,Prêt-à-porter Mixte,R,CB107,1,,,C
648897.014892578,6863366.10150146,18398,20910,2,8,29,751082901,18,,RUE,MARBEUF,Opticien,R,CC301,1,,,C
648894.497680664,6863362.99291992,18399,20911,2,8,29,751082901,18,,RUE,MARBEUF,Prêt-à-porter Homme,R,CB105,1,,,C
648961.413085938,6863230.71911621,18400,20912,2,8,29,751082901,8,,RUE,CLEMENT MAROT,Tissus - Textile - Mercerie,R,CD203,1,,,C
649070.462890625,6863247.43969727,18405,20917,2,8,29,751082901,17,,RUE,FRANCOIS IER,Prêt-à-porter Femme,R,CB104,1,,,C
649067.585510254,6863250.21832275,18406,20918,2,8,29,751082901,17,,RUE,FRANCOIS IER,Prêt-à-porter Femme,R,CB104,1,,,C
649041.578308105,6863275.40869141,18407,20919,2,8,29,751082901,19,,RUE,FRANCOIS IER,Prêt-à-porter Homme,R,CB105,1,,,C
648963.57232666,6863296.17449951,18411,20924,2,8,29,751082901,28,,RUE,LA TREMOILLE,Prêt-à-porter Femme,R,CB104,1,,,C
648980.606872559,6863310.46270752,18412,20925,2,8,29,751082901,30,,RUE,LA TREMOILLE,Opticien,R,CC301,1,,,C
649023.335876465,6863177.84527588,18414,20927,2,8,29,751082901,31,,AV,MONTAIGNE,Haute couture - Créateurs,A,CB101,1,,,C
649082.486694336,6863226.29388428,18415,20928,2,8,29,751082901,39,,AV,MONTAIGNE,Haute couture - Créateurs,A,CB101,3,,,C
648956.360717773,6863213.6204834,18417,20931,2,8,29,751082901,5,,RUE,CLEMENT MAROT,Prêt-à-porter Femme,R,CB104,1,,,C
648942.968505859,6863116.04547119,18418,20932,2,8,29,751082901,21,,AV,MONTAIGNE,Joaillerie,A,CB301,1,,,C
648893.348510742,6863195.31689453,18421,20936,2,8,29,751082901,3,,RUE,CHAMBIGES,Prêt-à-porter Femme,R,CB104,1,,,C
648875.454528809,6863298.91931152,18429,20945,2,8,29,751082901,15,,RUE,CLEMENT MAROT,Quincaillerie et droguerie,R,CF101,1,,,C
648900.519104004,6863265.38208008,18432,20949,2,8,29,751082901,13,,RUE,LA TREMOILLE,Pharmacie,A,CC101,1,,,C
648851.49407959,6863309.38409424,18435,20956,2,8,29,751082901,12,,RUE,MARBEUF,Chaussures Homme,R,CB202,1,,,C
648819.854675293,6863233.11431885,18443,20966,2,8,29,751082901,20,,RUE,BOCCADOR,Prêt-à-porter Homme,R,CB105,1,,,C
648809.080871582,6863256.68591309,18447,20970,2,8,29,751082901,6,,RUE,MARBEUF,Prêt-à-porter Mixte,A,CB107,1,,,C
648806.563476562,6863253.57727051,18448,20971,2,8,29,751082901,6,,RUE,MARBEUF,Chaussures Femme,R,CB201,1,,,C
648819.942687988,6863270.1729126,18449,20972,2,8,29,751082901,8,,RUE,MARBEUF,Prêt-à-porter Mixte,R,CB107,1,,,C
648850.559082031,6863252.31829834,18451,20974,2,8,29,751082901,3,,RUE,RENAISSANCE,Tailleur sur mesure,R,CB102,1,,,C
648837.526306152,6863264.30291748,18454,20977,2,8,29,751082901,5,,RUE,RENAISSANCE,Bijouterie fantaisie - Accessoire de mode,R,CB304,1,,,C
648841.996704102,6863334.5324707,18456,20979,2,8,29,751082901,19,,RUE,CLEMENT MAROT,Prêt-à-porter Mixte,A,CB107,1,,,C
648760.230529785,6863295.090271,18458,20981,2,8,29,751082901,24,,AV,GEORGE V,Prêt-à-porter Homme,A,CB105,1,,,C
648805.976318359,6863281.41552734,18463,20994,2,8,29,751082901,5,,RUE,MARBEUF,Prêt-à-porter Mixte,R,CB107,1,,,C
648822.581298828,6863302.11248779,18466,20998,2,8,29,751082901,9,,RUE,MARBEUF,Montres,R,CB303,1,,,C
648835.167480469,6863317.74267578,18469,21002,2,8,29,751082901,11,,RUE,MARBEUF,Prêt-à-porter Homme,R,CB105,1,,,C
648837.684692383,6863320.85131836,18470,21003,2,8,29,751082901,11,,RUE,MARBEUF,Prêt-à-porter Homme,R,CB105,1,,,C
648769.80871582,6863393.73449707,18471,21005,2,8,29,751082901,46,,RUE,PIERRE CHARRON,Montres,R,CB303,1,,,C
648766.656677246,6863391.27172852,18472,21007,2,8,29,751082901,46,,RUE,PIERRE CHARRON,Pharmacie,A,CC101,1,,,C
648763.056091309,6863240.1149292,18473,21008,2,8,29,751082901,20,,AV,GEORGE V,Prêt-à-porter Homme,A,CB105,1,,,C
648763.26550293,6863236.12030029,18474,21009,2,8,29,751082901,20,,AV,GEORGE V,Prêt-à-porter Lingerie,R,CB108,1,,,C
648762.252075195,6863255.628479,18476,21011,2,8,29,751082901,22,,AV,GEORGE V,Tabac,A,CE501,1,,,C
648766.875488281,6863168.43249512,18478,21017,2,8,29,751082901,16,,AV,GEORGE V,Joaillerie,R,CB301,1,,,C
