Nombre_delits_crimes_2019,piece,Vetements_accessoires,arrondissement,services,loisirs,Commerces_automobile,Mobilier_electromenager,1946-1970,1971-1990,Apres 1990,Avant 1946,code_grand_quartier,meublé,non meublé,polar_coords1,polar_coords2,ref
15167,2,187,10,106,33,21,29,0,0,0,1,7511037,1,0,0.21000833294636057,0.8131019782982588,27.9
8477,3,42,5,62,49,4,26,0,0,1,0,7510517,1,0,0.17094806405240714,0.19478834803519435,26.0
13759,2,126,12,94,66,26,101,0,0,0,1,7511248,0,1,0.32445070901559786,0.3427837217681108,24.2
15167,3,62,10,45,23,15,25,0,1,0,0,7511040,1,0,0.2517937887228206,0.6882163317815884,22.3
8477,4,42,5,62,49,4,26,0,0,0,1,7510517,1,0,0.17094806405240714,0.19478834803519435,28.4
8477,3,204,6,77,43,2,39,1,0,0,0,7510622,0,1,0.17029534660212514,0.8340644063270486,21.7
13759,1,126,12,94,66,26,101,1,0,0,0,7511248,1,0,0.32445070901559786,0.3427837217681108,27.0
15513,3,138,11,82,62,15,61,1,0,0,0,7511141,0,1,0.283199287148022,0.5534237880339585,18.9
8378,4,80,3,27,56,8,17,1,0,0,0,7510309,0,1,0.12544525112360697,0.6053544029785981,23.0
14628,1,226,9,75,21,0,20,1,0,0,0,7510934,0,1,0.1624829940537827,0.26367789636238326,31.9
19422,2,124,15,61,28,16,55,0,0,0,1,7511560,0,1,0.6781718785119147,0.6051333756247833,24.1
5428,1,83,4,29,38,6,16,0,0,1,0,7510415,0,1,0.2163958613814546,0.33339682374395774,32.1
13879,4,51,14,45,30,11,21,0,0,1,0,7511453,0,1,0.26858233543933335,0.8532761122941742,20.4
15726,2,33,1,28,20,1,14,0,0,0,1,7510101,1,0,0.091801740627592,0.5516253945445405,31.9
18654,3,92,20,88,19,25,35,0,1,0,0,7512080,1,0,0.5848702075627431,0.46491885488043166,18.9
19856,2,41,19,51,14,12,16,0,0,1,0,7511975,1,0,0.5165879066185225,0.6220026667952664,23.7
13879,2,171,14,91,34,17,42,0,0,1,0,7511455,0,1,0.3828253026822436,0.84586561821968,24.8
20898,3,198,8,34,3,7,6,0,0,0,1,7510829,1,0,0.3716300616298281,0.44333088914593055,30.7
8378,2,193,3,33,120,5,24,1,0,0,0,7510311,0,1,0.17685333453877608,0.44551772471092893,22.8
14628,1,88,9,65,106,7,34,0,0,0,1,7510933,1,0,0.2045689780660741,0.17068644098913016,32.9
14628,3,118,9,53,44,8,29,0,0,0,1,7510936,1,0,0.17365030103978477,1.0,25.8
14628,3,88,9,65,106,7,34,0,0,1,0,7510933,1,0,0.2045689780660741,0.17068644098913016,26.7
13879,4,51,14,45,30,11,21,1,0,0,0,7511453,0,1,0.26858233543933335,0.8532761122941742,21.5
19422,3,145,15,90,63,22,110,0,0,0,1,7511559,0,1,0.5322043707919465,0.5636769074611726,22.9
5428,1,83,4,29,38,6,16,0,1,0,0,7510415,0,1,0.2163958613814546,0.33339682374395774,27.9
19856,2,29,19,21,10,8,11,0,0,1,0,7511974,0,1,0.4968879397938482,0.7135808865378325,21.0
8477,4,204,6,77,43,2,39,0,0,0,1,7510622,1,0,0.17029534660212514,0.8340644063270486,28.9
8378,3,193,3,33,120,5,24,0,1,0,0,7510311,0,1,0.17685333453877608,0.44551772471092893,24.1
5428,4,26,4,22,48,2,8,0,0,0,1,7510416,1,0,0.12611451559451095,0.22725872263515867,28.9
8477,2,83,6,47,137,1,21,0,0,1,0,7510621,0,1,0.08623733058717085,0.8301830270736872,26.7
8477,1,68,5,93,100,0,11,1,0,0,0,7510520,0,1,0.12809058249167188,0.0,29.8
14628,1,118,9,53,44,8,29,1,0,0,0,7510936,0,1,0.17365030103978477,1.0,28.0
19856,2,84,19,66,13,11,28,0,0,1,0,7511973,0,1,0.3739800049935191,0.7140212812606183,21.0
15513,1,63,11,62,35,32,45,0,1,0,0,7511142,1,0,0.29441571397175076,0.4935877775645978,30.1
20898,3,324,8,53,80,2,62,0,1,0,0,7510831,1,0,0.2616548516952385,0.3895631917171873,25.2
20898,2,127,8,89,66,11,54,1,0,0,0,7510832,1,0,0.3238944399007913,0.3318838027766077,29.2
18654,2,66,20,65,24,15,22,0,0,0,1,7512079,1,0,0.48906228209576974,0.5072996521673716,25.7
18654,2,63,20,51,31,10,18,0,1,0,0,7512077,1,0,0.4151518031081543,0.5658801937328212,25.9
15513,2,63,11,62,35,32,45,0,1,0,0,7511142,1,0,0.29441571397175076,0.4935877775645978,25.2
18770,4,152,17,70,40,29,41,0,1,0,0,7511767,1,0,0.4114957042942287,0.2734538218272014,24.9
18654,3,63,20,51,31,10,18,0,0,0,1,7512077,0,1,0.4151518031081543,0.5658801937328212,23.0
17723,3,70,13,78,37,10,23,1,0,0,0,7511350,1,0,0.4302646839553789,0.2118547143116556,18.6
5428,2,311,4,68,48,3,63,1,0,0,0,7510414,0,1,0.14568434764516724,0.3571513032169506,22.8
24474,4,51,18,52,12,5,87,0,0,1,0,7511871,1,0,0.31542660158222924,0.889067727360112,21.9
13759,3,37,12,42,23,15,18,0,0,1,0,7511245,1,0,0.9999999999999999,0.4193182984173185,25.2
18654,1,66,20,65,24,15,22,0,1,0,0,7512079,0,1,0.48906228209576974,0.5072996521673716,23.1
13759,4,20,12,22,34,4,7,0,0,1,0,7511247,1,0,0.4737076358717704,0.3079928292028016,23.8
15513,4,63,11,62,35,32,45,0,0,0,1,7511142,0,1,0.29441571397175076,0.4935877775645978,20.6
17723,3,13,13,21,13,4,6,0,1,0,0,7511352,0,1,0.27489626255488664,0.022663481514400563,21.2
18654,2,92,20,88,19,25,35,1,0,0,0,7512080,0,1,0.5848702075627431,0.46491885488043166,19.1
20898,1,198,8,34,3,7,6,1,0,0,0,7510829,1,0,0.3716300616298281,0.44333088914593055,36.0
